Financial Year,period,lost_customer_hours,period_end,month,avg_max_temp,avg_min_temp,total_rainfall,avg_sunshine,avg_humidity
2012/13,1,1976895.6400000004,2012-04-28,2012-04-01,134.26666666666668,48.5,984.0,47.233333333333334,74.6
2013/14,1,1674459.3399999994,2013-04-27,2013-04-01,137.7,46.8,340.0,54.266666666666666,69.5
2014/15,1,1232270.3,2014-04-26,2014-04-01,159.73333333333332,74.66666666666667,580.0,52.3,72.0
2015/16,1,1679342.9199999992,2015-05-02,2015-05-01,176.58064516129033,87.64516129032258,416.0,60.96774193548387,66.90322580645162
2016/17,1,1839940.8899999987,2016-04-30,2016-04-01,136.0,48.93333333333333,472.0,56.666666666666664,72.83333333333333
2017/18,1,1972224.9199999995,2017-04-29,2017-04-01,157.83333333333334,59.03333333333333,46.0,62.06666666666667,65.03333333333333
2018/19,1,2515368.2199999955,2018-04-28,2018-04-01,156.43333333333334,79.36666666666666,652.0,37.8,77.55172413793103
2019/20,1,2511501.760000002,2019-04-27,2019-04-01,159.23333333333332,57.0,128.0,56.7,68.8
2011/12,2,2322088.7800000003,2011-05-28,2011-05-01,194.83870967741936,93.54838709677419,246.0,70.3225806451613,63.74193548387097
2012/13,2,2398403.1300000004,2012-05-26,2012-05-01,182.80645161290323,97.03225806451613,254.0,53.74193548387097,72.12903225806451
2013/14,2,1332503.12,2013-05-25,2013-05-01,164.32258064516128,77.38709677419355,418.0,52.67741935483871,69.06451612903226
2014/15,2,4400900.270000004,2014-05-24,2014-05-01,182.5483870967742,97.7741935483871,846.0,57.67741935483871,70.16129032258064
2015/16,2,1048174.3799999999,2015-05-30,2015-05-01,176.58064516129033,87.64516129032258,416.0,60.96774193548387,66.90322580645162
2016/17,2,1658274.4599999972,2016-05-28,2016-05-01,189.25806451612902,97.41935483870968,604.0,62.16129032258065,71.6774193548387
2017/18,2,2309083.6700000037,2017-05-27,2017-05-01,201.5483870967742,103.83870967741936,648.0,53.16129032258065,72.2258064516129
2018/19,2,2122222.3000000003,2018-05-26,2018-05-01,211.38709677419354,98.35483870967742,584.0,80.09677419354838,67.61290322580645
2019/20,2,2356449.959999998,2019-04-28,2019-05-01,188.38709677419354,83.61290322580645,360.0,56.87096774193548,67.13333333333334
2011/12,3,1929444.7300000004,2011-06-25,2011-06-01,206.8,110.3,840.0,57.833333333333336,71.93333333333334
2012/13,3,2453426.6999999997,2012-06-23,2012-06-01,192.83333333333334,115.83333333333333,1108.0,39.5,74.6
2013/14,3,1534174.3399999999,2013-06-22,2013-06-01,203.73333333333332,112.03333333333333,116.0,52.5,67.5
2014/15,3,1431678.62,2014-06-21,2014-06-01,221.36666666666667,124.96666666666667,408.0,73.4,64.76666666666667
2015/16,3,1393155.9800000004,2015-06-27,2015-06-01,229.03333333333333,114.0,122.0,65.66666666666667,61.5
2016/17,3,2080947.250000001,2016-06-25,2016-06-01,208.63333333333333,126.93333333333334,934.0,33.9,81.96666666666667
2017/18,3,2742883.7300000014,2017-06-24,2017-06-01,239.0,139.2,464.0,68.1,67.23333333333333
2018/19,3,2543992.73,2018-06-23,2018-06-01,244.86666666666667,131.13333333333333,4.0,78.16666666666667,63.833333333333336
2019/20,3,2777924.0599999935,2019-05-26,2019-06-01,216.7,119.23333333333333,818.0,56.7,72.2
2011/12,4,2300769.4899999998,2011-07-23,2011-07-01,219.7741935483871,126.41935483870968,498.0,56.0,67.74193548387096
2012/13,4,1745716.6900000006,2012-07-21,2012-07-01,214.32258064516128,131.8709677419355,718.0,52.12903225806452,73.93548387096774
2013/14,4,1838159.4,2013-07-20,2013-07-01,273.93548387096774,152.41935483870967,252.0,86.51612903225806,62.225806451612904
2014/15,4,1467460.76,2014-07-19,2014-07-01,258.35483870967744,149.51612903225808,500.0,79.48387096774194,63.96774193548387
2015/16,4,4916461.1899999995,2015-07-25,2015-07-01,231.83870967741936,138.38709677419354,718.0,61.193548387096776,65.29032258064517
2016/17,4,2542254.6600000025,2016-07-23,2016-07-01,239.29032258064515,144.7741935483871,160.0,58.96774193548387,69.09677419354838
2017/18,4,2698591.2100000028,2017-07-22,2017-07-01,238.06451612903226,149.25806451612902,900.0,57.41935483870968,69.09677419354838
2018/19,4,2415713.240000002,2018-07-21,2018-07-01,281.03225806451616,163.58064516129033,148.0,87.90322580645162,56.774193548387096
2019/20,4,3284528.8200000003,2019-06-23,2019-07-01,255.74193548387098,149.09677419354838,508.0,62.74193548387097,64.53333333333333
2011/12,5,2059198.2199999995,2011-08-20,2011-08-01,215.4516129032258,133.7741935483871,688.0,46.483870967741936,71.80645161290323
2012/13,5,1728724.22,2012-08-18,2012-08-01,235.16129032258064,142.8709677419355,364.0,58.903225806451616,72.38709677419355
2013/14,5,1749066.1300000006,2013-08-17,2013-08-01,239.29032258064515,142.58064516129033,326.0,64.09677419354838,67.90322580645162
2014/15,5,1528313.4100000001,2014-08-16,2014-08-01,215.1290322580645,127.12903225806451,976.0,59.225806451612904,68.6774193548387
2015/16,5,5225844.069999999,2015-08-22,2015-08-01,221.06451612903226,140.74193548387098,1168.0,43.25806451612903,73.3
2016/17,5,2005242.5999999985,2016-08-20,2016-08-01,249.16129032258064,146.19354838709677,216.0,64.96774193548387,68.35483870967742
2017/18,5,2457382.129999999,2017-08-19,2017-08-01,220.03225806451613,135.1290322580645,586.0,56.41935483870968,73.54838709677419
